time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-14.4452  4.76092  299.238,-196.473  56.6917  594.588, 12.206 11.0123 249.039,-24.7683  36.6978  299.928
0.01,-0.000355915  0.000188931     0.421832,-0.0584905 -0.0328737 -0.0494681,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,5.55481 2.06255 64.9711,-185.883  52.9285  611.895,32.2744 26.4696 29.4183,-18.7341  27.2111  345.048
0.02, -0.0013321 0.000772074    0.426836,-0.227722 -0.125216 -0.186844,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 16.2616  6.57617 -126.361,-158.14 43.0046 646.902, 43.1722  49.3993 -152.187,-2.6344 3.45087 451.909
0.03,-0.0027912 0.00177395   0.434277,-0.498337  -0.26761 -0.395583,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 19.3869  16.5083 -276.588,-119.286  28.9686  674.234, 46.5893  77.2795 -296.503, 20.5266 -27.5331  577.758
0.04,-0.00459589  0.00321909    0.443418,-0.860974 -0.450638 -0.659143,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 16.6424  30.0654 -387.542,-75.3622  12.8691  668.516,  44.216  107.588 -404.255, 47.7447 -58.6909  679.846
0.05,-0.00660882  0.00513201    0.453523, -1.30627 -0.664881  -0.96098,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 9.73978  45.4539 -461.052,-32.4106 -3.24535  604.374, 37.7421  137.804 -476.171, 76.0156 -82.9727  715.419
0.06,-0.00869264  0.00753724    0.463857, -1.82488 -0.900923  -1.28455,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.390835  60.8804  -498.95, 3.52722 -17.3261  456.434,  28.858  165.404 -512.975, 102.335 -93.3287  641.728
0.07, -0.01071 0.0104593  0.473682,-2.40743 -1.14935 -1.61331,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-9.69274  74.5514 -503.066, 27.0565 -27.4864  211.095, 19.2536  187.868 -515.395, 123.764 -84.4207  430.536
0.08,-0.0125236  0.0139227   0.482264,-3.04456 -1.40073 -1.93072,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-18.7992  84.6733 -475.231, 42.3347 -34.3896  3.55751, 10.6192  202.672 -484.156, 139.043 -73.5403  240.472
0.09,-0.013996  0.017952  0.488865,-3.72693 -1.64566 -2.22023,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-25.2169  89.4526 -417.275, 51.5017 -38.5315 -120.965, 4.64466  207.296 -419.984, 148.21 -67.012 126.434
0.1, -0.01499 0.0225717   0.49275,-4.44516 -1.87472 -2.46531,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-27.2341  87.0959  -331.03, 54.5573 -39.9122 -162.473, 3.02025  199.217 -323.606, 151.265 -64.8359  88.4212
