time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,  0   0 0.5,0 0 0, 0.34  0.19 -0.42, 0.34 -0.19 -0.42,-0.34  0.19 -0.42,-0.34 -0.19 -0.42,0.0554616 -0.219402  0.541534,0.0248745 -0.260185  0.629041,0.0414984 -0.155798  0.425091,0.0233319 -0.190066  0.499564
0.1,-0.00570017   0.0313636    0.325132,-3.36801 0.908339 0.216256, 0.34  0.19 -0.42, 0.34 -0.19 -0.42,-0.34  0.19 -0.42,-0.34 -0.19 -0.42,-155.984  232.502 -950.226, 67.1945 -45.3799 -63.3871,-73.362 199.075 -1525.3,60.9679  170.59 307.446
0.2,-0.0277881   0.160475  -0.196224,-17.4229  2.00874 0.787405, 0.34  0.19 -0.42, 0.34 -0.19 -0.42,-0.34  0.19 -0.42,-0.34 -0.19 -0.42, 20.8593 -244.114  2146.12,-7.10543e-15 -1.42109e-14 -2.27374e-13, 93.6651 -252.065  2380.61,1.42109e-14           0 2.27374e-13
0.3,-0.0154998   0.207689  0.0399746,   -25.4126    -6.97745 -0.00968986, 0.34  0.19 -0.42, 0.368982 -0.180082 -0.127597,-0.34  0.19 -0.42,-0.304314 -0.183065 -0.209657,  105.655 -0.375017  -611.151,0 0 0, 145.891 -21.2857 -119.832,0 0 0
0.4,0.0601054  0.221975  0.268661, -29.704 -7.28026 0.717847, 0.34  0.19 -0.42, 0.426946 -0.160247  0.164806,-0.34  0.19 -0.42,  -0.232942   -0.169195 0.000686416,1.13687e-13 1.13687e-13           0,0 0 0,3.41061e-13           0           0,0 0 0
0.5,0.149922 0.235038 0.357982,-33.5781 -4.50628  1.87852, 0.459409  0.158147 0.0363534,  0.48491 -0.140413 0.0824065, -0.257674   0.138649 0.00931937,   -0.16157   -0.155325 0.000343392,0 0 0,0 0 0,0 0 0,0 0 0
0.6,0.239739 0.248101 0.349237,-37.3969 -1.70149  2.94319,    0.578818     0.126294 -1.41048e-05,   0.513893   -0.130495 7.02818e-06,   -0.175348    0.0872975 -4.18357e-06,  -0.125884    -0.14839 3.68952e-07,0 0 0,0 0 0,0 0 0,0 0 0
0.7,0.303823 0.249315 0.298821,  -39.33 0.138409  3.27284,    0.578818     0.126294 -1.41048e-05,   0.513893   -0.130495 7.02818e-06,   -0.175348    0.0872975 -4.18357e-06,  -0.125884    -0.14839 3.68952e-07,-247.659  85.6046   1278.3,-16.7448 -151.895 -450.397,-190.861  9.93519  574.079,-0.21294 -153.371 -403.775
0.8,0.266029 0.207703 0.382222,-31.8907  -1.1022   2.0175,    0.578818     0.126294 -1.41048e-05,   0.513893   -0.130495 7.02818e-06,   -0.175348    0.0872975 -4.18357e-06,  -0.125884    -0.14839 3.68952e-07,-35.9456    72.32  30.2168,           0  1.13687e-13 -2.27374e-13,54.6296 8.56918 81.3259,           0 -2.27374e-13            0
0.9,0.221388 0.172489 0.470896,  -17.848 -0.244334   3.43604,    0.578818     0.126294 -1.41048e-05, 0.518398 -0.137447  0.138455,   -0.175348    0.0872975 -4.18357e-06,-0.127761 -0.151415  0.134941, 106.898 -50.8707  53.5115,0 0 0,152.633 50.2815 331.204,0 0 0
1,0.236453 0.141712 0.554746,  -14.5178 -0.0501457    2.21831,    0.578818     0.126294 -1.41048e-05, 0.52741 -0.15135 0.276903,   -0.175348    0.0872975 -4.18357e-06,-0.131517 -0.157464  0.269882,-2.27374e-13  2.84217e-14  2.84217e-14,0 0 0,-2.27374e-13 -2.84217e-14            0,0 0 0
1.1,0.266181 0.110901 0.562265, -14.3532 -0.237456 0.0750232, 0.66753 0.152129 0.177464, 0.536422 -0.165254  0.138452,-0.050425  0.138895  0.174194,-0.135272 -0.163513  0.134941,0 0 0,0 0 0,0 0 0,0 0 0
1.2,  0.29591 0.0800911  0.471717,-14.1782 -0.42281 -2.06875,    0.756242     0.177963 -1.56854e-07,   0.540928   -0.172206 1.29418e-07,   0.0744977     0.190493 -1.90017e-07,   -0.13715   -0.166538 9.14774e-08,0 0 0,0 0 0,0 0 0,0 0 0
1.3, 0.321347 0.0600989  0.345374,-13.2947 -0.64047 -3.56945,    0.756242     0.177963 -1.56854e-07,   0.540928   -0.172206 1.29418e-07,   0.0744977     0.190493 -1.90017e-07,   -0.13715   -0.166538 9.14774e-08,-64.2441 -7.09996  324.007,30.6787 102.337 288.494,-66.9214  48.9462   224.07, 24.534 47.2984 265.629
1.4, 0.345267 0.0801816  0.376787, -10.2464 -0.636882  -2.33966,    0.756242     0.177963 -1.56854e-07,   0.540928   -0.172206 1.29418e-07,   0.0744977     0.190493 -1.90017e-07,   -0.13715   -0.166538 9.14774e-08, 145.042  25.7225 -117.048,-3.55271e-15 -1.13687e-13  4.54747e-13, 131.934 -82.3251  236.301,-7.10543e-15  1.13687e-13  4.54747e-13
