time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.651142  3.02254  10.8914,10.8386 40.7534 88.8105,1.16472 5.29495 17.3222,11.3754 47.0977 106.877
0.01,4.10458e-05 0.000160494    0.419894, 0.0221117 -0.0021735 0.00162751,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.625435  2.96692  10.8211,10.9235 40.1645  90.905,1.22463 5.18533 17.4967,11.4566 45.3654 109.732
0.02,0.000165452 0.000631961    0.419597,  0.0731644 -0.00704405  0.00794784,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.573165  2.88648  10.6039,11.1396 38.6576 96.2644,1.41119 4.93711 17.9856,11.6633  40.937 117.035
0.03,0.000375123  0.00139938    0.419138,  0.130235 -0.0121368  0.0211177,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.500328  2.78487  10.2688,11.4295 36.6225 103.502,1.70337  4.5739 18.7357,11.9405 34.9652 126.891
0.04,0.000671961  0.00244773    0.418547,  0.170398 -0.0149767  0.0432937,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.412917  2.66577  9.84473,11.7353 34.4491 111.233, 2.0801 4.11934 19.6941,12.2329 28.6026 137.406
0.05,0.00105787 0.00376198   0.417855, 0.170732 -0.013089 0.0766326,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.316926  2.53284  9.36084,11.9997 32.5272 118.069,2.52036 3.59706 20.8077,12.4853  23.002 146.686
0.06,0.00153475 0.00532712   0.417091,   0.108313 -0.00399879    0.123291,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.21835 2.38974 8.84613,12.1648 31.2466 122.626, 3.0031 3.03067 22.0235,12.6427 19.3161 152.837
0.07,0.00210451 0.00712813   0.416286,-0.0397834  0.0147689   0.185426,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.123182  2.24014  8.32963,12.1847 30.9239 123.777,3.50727 2.44381 23.2883,12.6609 18.4781 154.322
0.08,0.00276905 0.00914997    0.41547,-0.296481 0.0456889  0.265194,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.0374175   2.08771   7.84035,12.1689 30.8819 123.928,4.01183  1.8601 24.5491,12.6451 18.4457  154.46
0.09,0.00353028  0.0113776   0.414672,-0.684702 0.0912362  0.364751,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.0329502    1.93612    7.40735,12.1595 30.8567 124.019,4.49573 1.30316 25.7529,12.6357 18.4262 154.543
0.1,0.00439009  0.0137961   0.413923,-1.22737 0.153886 0.486254,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.0819266    1.78902    7.05964,12.1563 30.8484  124.05, 4.93794 0.796624  26.8466,12.6325 18.4197 154.571
0.11,0.00535259  0.0163847   0.413251,-1.93879 0.234951 0.630628,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.103518   1.65008   6.82625,12.1595 30.8567 124.019, 5.31741 0.364115  27.7772,12.6357 18.4262 154.543
0.12,0.00643064  0.0191005    0.41268,-2.79879   0.3311 0.793864,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.0917293    1.52297    6.73623,12.1689 30.8819 123.928,   5.6131 0.0292591   28.4915,12.6451 18.4457  154.46
0.13,0.00763932  0.0218949   0.412228,-3.77857 0.437839 0.970721,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.0405673    1.41136    6.81859,12.1847 30.9239 123.777,  5.80395 -0.184319   28.9366,12.6609 18.4781 154.322
0.14,0.0089937 0.0247192  0.411919,-4.84933 0.550676  1.15596,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.606094 0.619642  9.33684,11.8613 30.1055 120.139, 6.31092 -0.92053  31.7247,12.3242 17.9974 149.845
0.15,0.0105088 0.0275249  0.411773,-5.98227 0.665116  1.34434,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,3.45821 -2.8978  20.831,10.3061 26.1595 104.193, 8.42626 -4.13113  44.6533,10.7079  15.643 129.987
0.16,0.0121998 0.0302633  0.411811,-7.14862 0.776668  1.53061,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 8.26929 -8.83869  40.2964,7.92015 20.1039 79.9716, 11.9785 -9.54787   66.615,8.22873 12.0242 99.7857
0.17,0.0140816 0.0328859  0.412054,-8.31955 0.880837  1.70955,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 14.648 -16.717   66.14,5.19996 13.1995 52.4586, 16.6805 -16.7278  95.8036,5.40247 7.89576 65.4636
0.18,0.0161694  0.035344  0.412524,-9.46629  0.97313   1.8759,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 22.2029 -26.0467  96.7684,2.64215 6.70691  26.637, 22.2456 -25.2281  130.413,2.74501  4.0124 33.2434
0.19,0.0184783  0.037589   0.41324, -10.56 1.04905 2.02443,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 30.5426 -36.3417  130.589,0.743302  1.88684  7.48975, 28.3866 -34.6058  168.636,0.772232  1.12889  9.34799
0.2,0.0210232 0.0395724  0.414225,-11.572 1.10412 2.14989,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 39.2758 -47.1161  166.007,-3.55271e-15  1.42109e-14  2.84217e-14,34.8166 -44.418 208.667,3.55271e-15 7.10543e-15 1.13687e-13
0.21,0.0238194   0.04125  0.415509,-12.4779  1.13503   2.2479,0.34 0.19    0,  0.340655  -0.190306 0.00166079,-0.34  0.19     0, -0.339328   -0.19007 0.00170178,  48.011 -57.8838  201.431,0 0 0, 41.2488 -54.2218    248.7,0 0 0
0.22,0.0268826 0.0425958   0.41716,-13.2713  1.14337  2.31746,0.34 0.19    0, 0.342567 -0.191198 0.0064141,-0.34  0.19     0, -0.337365  -0.190273 0.00657239,  56.357 -68.1588  235.267,0 0 0,  47.396 -63.5743  286.928,0 0 0
0.23,0.0302285 0.0435884  0.419255,-13.9507  1.13189   2.3584,0.34 0.19    0, 0.345655  -0.19264 0.0139163,-0.34  0.19     0,-0.334195 -0.190601 0.0142597,63.9223 -77.455 265.922,0 0 0, 52.9715 -72.0326  321.546,0 0 0
0.24, 0.033873 0.0442064  0.421872,-14.5141  1.10338  2.37059,0.34 0.19    0, 0.349839 -0.194594 0.0238238,-0.34  0.19     0,-0.329899 -0.191045 0.0244117, 70.3155 -85.2864  291.803,0 0 0, 57.6881 -79.1538  350.746,0 0 0
0.25,0.0378319 0.0444282  0.425088,-14.9597  1.06061  2.35388,0.34 0.19    0, 0.355039 -0.197022 0.0357929,-0.34  0.19     0,-0.324561 -0.191598 0.0366763,75.1453 -91.167 311.316,0 0 0,  61.259 -84.4949  372.723,0 0 0
0.26,0.0421209 0.0442324  0.428981,-15.2859  1.00636  2.30811,0.34 0.19    0, 0.361175 -0.199888 0.0494802,-0.34  0.19     0,-0.318261  -0.19225 0.0507013, 78.0203 -94.6108  322.869,0 0 0, 63.3972 -87.6131   385.67,0 0 0
0.27,0.0467559 0.0435975  0.433628,-15.4907 0.943382  2.23313,0.34 0.19    0, 0.368166 -0.203152 0.0645418,-0.34  0.19     0,-0.311084 -0.192992 0.0661346, 78.5494 -95.1392  324.862,0 0 0,  63.804 -88.0703  387.741,0 0 0
0.28,0.0517527 0.0425021  0.439107,-15.5724 0.874468   2.1288,0.34 0.19    0, 0.375933 -0.206779 0.0806343,-0.34  0.19     0, -0.30311 -0.193817 0.0826243, 76.5805 -92.6514  316.594,0 0 0, 62.2216 -85.7497  377.739,0 0 0
0.29, 0.057127 0.0409247  0.445495,-15.5293 0.802386  1.99496,0.34 0.19    0, 0.384395  -0.21073 0.0974141,-0.34  0.19     0,-0.294423 -0.194716 0.0998181, 72.4584 -87.5883  299.461,0 0 0, 58.8846 -81.0509  357.197,0 0 0
0.3,0.0628947 0.0388438   0.45287,-15.3595  0.72991  1.83147,0.34 0.19    0, 0.393471 -0.214969  0.114537,-0.34  0.19     0,-0.285105 -0.195681  0.117364, 66.5849 -80.4329  275.119,0 0 0,54.1206  -74.42  328.09,0 0 0
0.31,0.0690622 0.0362504  0.461261,-15.0637 0.659349  1.63868,0.34 0.19    0, 0.403083 -0.219457  0.131661,-0.34  0.19     0,-0.275237 -0.196702   0.13491, 59.3624 -71.6677  245.228,0 0 0, 48.2567 -66.3032   292.39,0 0 0
0.32,0.0755979 0.0331845  0.470513,-14.6522  0.59116  1.41904,0.34 0.19    0, 0.413149 -0.224157  0.148441,-0.34  0.19     0,-0.264903 -0.197771  0.152104, 51.1929 -61.7757  211.444,0 0 0, 41.6203 -57.1466  252.071,0 0 0
0.33,0.0824609 0.0296986   0.48042, -14.138 0.525333  1.17548,0.34 0.19    0, 0.423589 -0.229032  0.164533,-0.34  0.19     0,-0.254185  -0.19888  0.168593, 42.4786 -51.2395  175.426,0 0 0, 34.5388 -47.3964  209.106,0 0 0
0.34,0.0896103 0.0258454  0.490777,-13.5337 0.461861 0.910963,0.34 0.19    0, 0.434324 -0.234045  0.179595,-0.34  0.19     0,-0.243164 -0.200021  0.184027, 33.6215 -40.5418  138.832,0 0 0, 27.3394 -37.4987  165.468,0 0 0
0.35,0.0970052 0.0216771   0.50138,-12.8522 0.400734 0.628433,0.34 0.19    0, 0.445272 -0.239157  0.193282,-0.34  0.19     0,-0.231925 -0.201184  0.198052, 25.0237 -30.1655  103.319,0 0 0, 20.3496 -27.8997   123.13,0 0 0
0.36, 0.104605 0.0172464  0.512026,-12.1064 0.341945 0.330837,0.34 0.19    0, 0.456354 -0.244332  0.205251,-0.34  0.19     0,-0.220547 -0.202361  0.210316, 17.0875 -20.5932  70.5449,0 0 0, 13.8966 -19.0456  84.0647,0 0 0
0.37, 0.112368 0.0126057  0.522508, -11.3091  0.285486 0.0211251,0.34 0.19    0, 0.467489 -0.249531  0.215159,-0.34  0.19     0,-0.209115 -0.203544  0.220468, 10.2149 -12.3078  42.1683,0 0 0, 8.30786 -11.3823  50.2461,0 0 0
0.38, 0.120254 0.0078076  0.532623,  -10.473  0.231348 -0.297755,0.34 0.19    0, 0.478598 -0.254719  0.222661,-0.34  0.19     0,-0.197711 -0.204724  0.228156, 4.80804 -5.79198  19.8467,0 0 0,  3.9106 -5.35625   23.647,0 0 0
0.39,  0.128222 0.00290447   0.542167, -9.61096  0.179522 -0.622856,0.34 0.19    0,   0.4896 -0.259856  0.227414,-0.34  0.19     0,-0.186416 -0.205893  0.233026, 1.26903 -1.52845  5.23799,0 0 0, 1.03221 -1.41342  6.24062,0 0 0
0.4,    0.13623 -0.00205115    0.550934, -8.73584  0.130001 -0.951228,0.34 0.19    0, 0.500414 -0.264906  0.229075,-0.34  0.19     0,-0.175314 -0.207042  0.234728,0 0 0,0 0 0,           0  5.68434e-14 -1.13687e-13,0 0 0
0.41,   0.144246 -0.00701553    0.558755, -7.85831 0.0827774  -1.28041,  0.341277   0.189422 0.00138582, 0.511229 -0.269956  0.227414, -0.338688   0.189741 0.00134712,-0.164211 -0.208191  0.233026,0 0 0,0 0 0,0 0 0,0 0 0
