time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.497842   3.47817   20.2324,2.70836 33.8612 89.9642,-0.446238   2.75456   19.3503,5.42604 41.4069 106.354
0.01,1.35003e-05 0.000138849    0.419916,   0.0104241   0.00340835 -0.000584313,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.410932   3.69135   18.1065,3.20005 34.3523 93.2527,-0.360238   2.94145   17.4206,6.24837 41.5454 111.326
0.02,5.92542e-05 0.000558246    0.419688,  0.0294718    0.013964 -0.00112998,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.333867   3.96473   15.9146,4.46088 35.6148 101.647,-0.285709   3.16017   15.4488,8.35418 41.9065 124.029
0.03,0.000145141  0.00126246    0.419353,  0.0388063   0.0321628 0.000173921,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.267321   4.26274   13.7485,6.16952 37.3329 112.939,-0.223041   3.38322   13.5153,11.2017 42.4086 141.147
0.04,0.000279042  0.00225578    0.418949, 0.0200909  0.0585006 0.00513829,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.211969   4.54983      11.7,8.00466 39.1906 124.923,-0.172621   3.58305   11.7005,14.2492 42.9704 159.361
0.05,0.000468835  0.00354246    0.418513,-0.0450113  0.0934732   0.015574,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.168487   4.79043   9.86097,9.64495 40.8719  135.39,-0.134835   3.73215   10.0847,16.9549 43.5101 175.356
0.06, 0.0007224 0.00512678   0.418083,-0.174837  0.137577 0.0332921,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.137548   4.94899   8.32312,10.7691 42.0608 142.134,-0.110072   3.80299   8.74811,18.7771 43.9462 185.813
0.07,0.00104762 0.00701302   0.417695,-0.387723  0.191307 0.0601034,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.119829   4.98995    7.1783,11.1139 42.4961 143.377,-0.0987199    3.76804    7.77118,19.2743 44.2075 188.052
0.08,0.00145237 0.00920545   0.417386,-0.702007  0.255159 0.0978187,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.116003   4.87775   6.51832,11.2108 42.6674 143.154,-0.101165   3.59979   7.23419,19.3712 44.3693  188.01
0.09,0.00194453  0.0117083   0.417195,-1.13602  0.32963 0.148249,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.126745   4.57683   6.43499, 11.269 42.7701  143.02,-0.117796    3.2707   7.21747,19.4294 44.4664 187.984
0.1,0.00253198   0.014526   0.417157,-1.70811 0.415215 0.213206,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.15273  4.05163  7.02011,11.2883 42.8044 142.975,-0.148999   2.75326   7.80136,19.4487 44.4988 187.975
0.11,0.00322383  0.0176524   0.417305,-2.4294 0.51172 0.29378,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.194633    3.2666    8.3655, 11.269 42.7701  143.02,-0.195163   2.01994   9.06617,19.4294 44.4664 187.984
0.12,0.00403411  0.0210411    0.41764,-3.28222 0.616193 0.388192,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.253129   2.18617    10.563,11.2108 42.6674 143.154,-0.256675   1.04321   11.0922,19.3712 44.3693  188.01
0.13,0.00497809  0.0246351   0.418161,-4.24167 0.724992 0.493942,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.328892  0.774797   13.7043,11.1139 42.4961 143.377,-0.333923 -0.204457   13.9599,19.2743 44.2075 188.052
0.14,0.00607102  0.0283777   0.418863,-5.28287 0.834475  0.60853,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.108981 -1.18774  19.0867,10.6932 41.1127 139.615,0.173045 -2.21028  19.7904,18.6251 42.7868 182.835
0.15,0.00732816   0.032212   0.419743,-6.38094    0.941 0.729455,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 2.61646 -4.21343  30.2075,9.22177 35.5811 121.333, 3.02144 -6.29533    34.53,16.1071 37.0402 158.738
0.16,0.00876477  0.0360812   0.420798,-7.51098  1.04092  0.85422,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 6.96326 -8.12186  46.3743,7.05131 27.2715 93.2551,7.95076 -12.177 57.1428,12.3392 28.3951 121.925
0.17,0.0103961 0.0399285  0.422024,-8.64812   1.1306 0.980324,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 12.7794 -12.6815   66.573,4.61289 17.8712 61.2322, 14.5427 -19.4498   86.052, 8.0831   18.61 80.0194
