time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-29.544  26.404  416.98,-6.26614  2.88613  401.282,-33.2751  6.88657   427.35,-8.44752 -18.3814   412.98
0.01,-0.000110058  4.12773e-05     0.422175,0.0355106 0.0544841 0.0290528,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-25.5855  17.8674 -1665.83,-7.97971   6.5079  514.044,-29.2502  -18.503 -1558.68,-10.0534 -9.26661   506.22
0.02,-0.000354816  0.000209573     0.428119,0.125003 0.199809 0.102441,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-12.6875  16.4703 -3053.62,-11.7624  15.2028  780.776,-16.1668   -20.11 -2883.39,-13.561  12.293 728.184
0.03,-0.000606152  0.000571581     0.436957,0.242919 0.408785 0.199511,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 6.69445  20.6837 -3840.72,-15.5772  25.7154  1094.14, 3.49833 -3.12147 -3636.22,-17.0049  37.6201   992.24
0.04,-0.000735943     0.001194     0.447816,  0.3637 0.654222 0.299606,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 30.1045  28.9783 -4121.45,-17.3871  34.7899  1346.82, 27.2686  27.2754 -3906.58,-18.4201  58.0377  1211.75
0.05,-0.000616068   0.00214351     0.459823,0.461786 0.908928 0.382072,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,  55.087  39.8251 -3990.12,-15.1551  39.1708  1431.47, 52.6672  65.8934 -3783.91,-15.8411  64.8686  1300.09
0.06,-0.000118404   0.00348683     0.472104, 0.51162  1.14571 0.426255,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 79.1862  51.6951 -3541.05,-6.84415  35.6025  1240.75, 77.2174  107.546 -3357.63,-7.30286  49.4354  1170.62
0.07,0.000885172  0.00529064    0.483786,0.487642  1.33739   0.4115,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 99.9463  63.0591 -2868.56,8.74568  21.873 703.969, 98.4426  147.045 -2717.17,8.33659 6.02188 765.519
0.08,0.00252278 0.00762163   0.493995,0.364294  1.45676 0.317151,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 114.912  72.3881 -2066.97,22.1653 9.25696 221.609, 113.866  179.204 -1951.95,21.7562 -32.988 398.417
0.09,0.00492255  0.0105465   0.501857,0.116018  1.47664 0.122554,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,121.626 78.1529 -1230.6,  30.217  1.68734 -67.8071,121.011 198.835 -1151.4,29.8079 -56.394 178.156
0.1,0.00821259   0.014132     0.5065,-0.282746   1.36984 -0.192946,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,117.635 78.8245 -453.76,  32.9009 -0.835862  -164.279, 117.401  200.752 -404.944,32.4918 -64.196 104.736
0.11,0.0124486  0.018414  0.507283,-0.848467   1.12021 -0.638843,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,100.482 72.8737 169.222,  30.217  1.68734 -67.8071,100.558 179.768 197.991,29.8079 -56.394 178.156
0.12,0.0173966 0.0233057  0.504502,-1.56126 0.755772 -1.17999,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,67.7104 58.7715  544.03,22.1653 9.25696 221.609,68.0074 130.695 567.978,21.7562 -32.988 398.417
0.13,0.0227503 0.0286897  0.498686,-2.39214 0.315598 -1.77006,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,16.8658 34.9888 576.346,8.74568  21.873 703.969,17.2712  48.346 615.592,8.33659 6.02188 765.519
0.14,0.0282031 0.0344483  0.490363, -3.31213 -0.161245  -2.36277,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-49.0941  5.30741  313.331,-6.66869  35.5217  1229.52, -48.742 -54.7295  371.143,-7.06632  49.9501  1159.06
