time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,1.01921  5.9584  58.393,1.55616 16.3936  117.98,  2.226 5.84744 59.4098,1.65294 16.9764 120.158
0.01,1.07332e-05 8.42549e-05    0.420105, -0.0113408 -0.00204202 9.50497e-05,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,0.140863  10.9997  34.6325,1.76285  16.842 121.698,1.35498  9.4299 36.5629, 1.9074 17.6987 124.354
0.02,4.21074e-05 0.000367763    0.420386, -0.0436243 -0.00674217  0.00156426,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-0.840944   17.4276   12.0449,2.29417 18.1726 130.864,0.393599  14.6198  14.7164,2.56077 19.6598 134.788
0.03,9.28847e-05 0.000896639    0.420796,-0.0942423 -0.0119616 0.00618372,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, -1.8656  24.6651 -8.69511,3.01699 20.3636 142.497,-0.599835   20.8436  -5.43865, 3.4481 22.5506 148.225
0.04,0.000161827    0.001717    0.421284, -0.160586 -0.0155614  0.0157295,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-2.87248  32.1352 -26.9131,3.79817  23.393 153.617,-1.56702  27.5279 -23.2114, 4.4044 26.0618 161.434
0.05,0.000247697  0.00287495    0.421802, -0.240048 -0.0154026  0.0319777,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-3.80097  39.2609 -41.9345,4.50458  27.239 161.242,-2.44965  34.0991  -37.911, 5.2647 29.8846 171.181
0.06,0.000349255  0.00441662      0.4223,   -0.33002 -0.00934653   0.0567045,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-4.59046  45.4652 -53.0849,5.00309 31.8796 162.391,-3.18941  39.9837 -48.8465,5.86404 33.7097 174.234
0.07,0.000465265  0.00638812    0.422729, -0.427892 0.00474581  0.0916858,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-5.18032  50.1713 -59.6896, 5.1837 37.1587 154.906,-3.72802  44.6084 -55.3268,6.06667 37.2009 168.197
0.08,0.000594488  0.00883555    0.423041,-0.531058 0.0290133  0.138698,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-5.50995  52.8021 -61.0742,5.25363 41.3144 147.369,-4.00716  47.3995 -56.6612,6.13659 39.7885 161.665
0.09,0.000735686    0.011805    0.423187,-0.636908 0.0655948  0.199517,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-5.51872  52.7806 -56.5642,5.29558 43.8078 142.847,-3.96852  47.7835 -52.1586,6.17855 41.3411 157.746
0.1,0.000887621   0.0153427    0.423116,-0.742834  0.116629  0.275918,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-5.14603  49.5299  -45.485,5.30957  44.639  141.34,-3.55382  45.1871 -41.1281,6.19253 41.8586  156.44
0.11,0.00105399  0.0194669   0.422797,-0.849551  0.183474  0.369072,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-4.33124   42.473 -27.1622,5.29558 43.8078 142.847,-2.70473  39.0366 -22.8789,6.17855 41.3411 157.746
0.12,0.00125819  0.0240846   0.422262,-0.971065  0.264364  0.477719,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-3.01375  31.0329 -0.92108,5.25363 41.3144 147.369,-1.36296  28.7586  3.28006,6.13659 39.7885 161.665
0.13,0.00152858  0.0290752    0.42156, -1.1247 0.356751 0.599992,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-1.13294  14.6327  33.9127, 5.1837 37.1587 154.906,0.529803  13.7796  38.0397,6.06667 37.2009 168.197
0.14,0.00189349  0.0343179   0.420739,-1.32779 0.458088 0.734027,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0, 1.33672 -5.39806  73.0479,4.95951 31.4206 159.088,  3.5187 -5.22137  78.3087,5.81775 33.2343  170.87
